unit_id,grade,subject,canonical_unit_name,term,estimated_hours,learning_objective,key_concepts,previous_learning,next_learning,curriculum_version_source,curriculum_version,status,data_origin
U218,2,算数,1000までの数,3,,3位数の構成を理解する,十進位取り,U120,U219,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U219,2,算数,10000までの数,3,,4位数の構成を理解する,十進位取り,U218,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U220,2,算数,分数の基礎,3,,等分の意味としての分数を理解,分数・等分,,U319,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U221,2,算数,箱の形,3,,頂点や辺の構成を理解する,立体図形,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U301,3,国語,漢字の基礎(3),1,,3年生の配当漢字を習得する,漢字・部首,U201,U401,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U302,3,国語,国語辞典の活用,1,,辞書の引き方を習得する,五十音順,,U402,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U303,3,国語,物語文の読解(3),1,,登場人物の気持ちの変化を読む,心情変化,U202,U403,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U304,3,国語,説明文の読解(3),1,,段落の役割を理解して読む,段落・中心文,U203,U404,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U305,3,国語,話す・聞く(3),2,,筋道を立てて話す・聞く,筋道・論理,U204,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U306,3,国語,報告文の作成,2,,調べたことをまとめて報告する,報告・要約,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U307,3,国語,ローマ字の読み書き,2,,訓令式ローマ字を習得する,ローマ字,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U308,3,国語,詩の鑑賞(3),3,,表現の工夫を味わう,比喩・擬人化,U207,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U309,3,国語,語彙・ことわざ,3,,ことわざ・慣用句に親しむ,ことわざ,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U310,3,国語,読書へのアニマシオン,3,,読書の幅を広げる,読書・推薦,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U311,3,算数,かけ算の筆算(1),1,,何十・何百のかけ算を理解する,乗法・筆算,U217,U411,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U312,3,算数,わり算の基礎,1,,等分除・包含除を理解する,除法,,U313,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U313,3,算数,余りのあるわり算,1,,余りの意味と処理を理解する,余り,U312,U411,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U314,3,算数,たし算・ひき算の筆算(応用),2,,3位数・4位数の筆算,大きな数の計算,U212,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U315,3,算数,長さの単位(km),2,,キロメートルの概念を理解する,単位・測定,U214,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U316,3,算数,重さの単位(g/kg),2,,重さの単位と測定を理解する,単位・測定,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U317,3,算数,円と球,2,,中心・半径・直径の性質,平面・立体,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U318,3,算数,小数の基礎,3,,端数の表現としての小数,小数・位,,U416,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U319,3,算数,分数の基礎(同分母),3,,量としての分数を理解する,分数・分子,U220,U418,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U320,3,算数,棒グラフ,3,,棒グラフの読み取りと作成,グラフ・目盛り,U211,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U321,3,算数,表とグラフ,3,,二次元表の読み取り,表・整理,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U322,3,算数,三角形と角,3,,二等辺三角形と正三角形,図形・角,,U413,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U331,3,理科,昆虫の育ち方,1,,チョウ等の成長過程を観察する,卵・幼虫・さなぎ,,U433,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U332,3,理科,植物の育ち方,1,,種子から結実までの成長を観察,発芽・成長・結実,,U432,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U333,3,理科,身近な自然の観察,1,,身の回りの生物と環境を観察,生物・環境,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U334,3,理科,太陽と影,2,,太陽の動きと影の変化を捉える,太陽・影・方位,,U435,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U335,3,理科,光の性質,2,,光の直進・反射・集光を調べる,直進・反射,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U336,3,理科,音の性質,2,,音の大きさと震え方の関係,振動・伝達,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U337,3,理科,磁石の性質,3,,磁石の極の性質を調べる,N極・S極・引力,,U539,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U338,3,理科,物の重さ,3,,形や体積と重さの関係を調べる,質量・体積,,U438,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U341,3,社会,わたしたちのまちの様子,1,,学校の周辺の様子を調べる,地図記号・方位,,U441,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U342,3,社会,まちの地理的環境,1,,地形と土地利用の関係を学ぶ,地形・土地利用,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U343,3,社会,はたらく人とくらし(商業),2,,スーパーマーケット等の工夫,販売・消費者,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U344,3,社会,はたらく人とくらし(農業・工業),2,,地域の生産活動を調べる,生産・流通,,U542,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U345,3,社会,事故や事件からまちを守る,3,,警察の働きを調べる,警察・安全,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U346,3,社会,火事からまちを守る,3,,消防の働きを調べる,消防・防災,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U347,3,社会,市のうつりかわり,3,,市の発展と歴史を学ぶ,歴史・発展,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U351,3,外国語活動,挨拶と自己紹介,1,,基本的な挨拶と名前を伝える,Greeting,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U352,3,外国語活動,気分・状態の表現,1,,How are you? と答える,Feelings,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U353,3,外国語活動,数(1-20)と遊び,1,,1から20までの数を英語で言う,Numbers,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U354,3,外国語活動,好きなもの(色・スポーツ),2,,What do you like? の表現,Likes/Colors,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U355,3,外国語活動,アルファベット(大文字)の認識,2,,大文字の形と読み方に親しむ,Alphabet,,U454,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U356,3,外国語活動,何か尋ねる表現,3,,What's this? で尋ねる,Questions,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U401,4,国語,漢字の基礎(4),1,,4年生の配当漢字を習得する,漢字・部首,U301,U501,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U402,4,国語,漢字辞典の活用,1,,部首・画数からの引き方,漢字辞典,U302,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U403,4,国語,物語文の読解(4),1,,情景描写から心情を深く読む,情景・主題,U303,U503,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U404,4,国語,説明文の読解(4),1,,要約しながら論理展開を読む,要約・筆者の考え,U304,U504,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U405,4,国語,話す・聞く(4),2,,相手を意識して対話する,対話・質問,U305,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U406,4,国語,パンフレット・新聞の作成,2,,割り付けを考えて表現する,編集・見出し,U306,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U407,4,国語,伝統的な言語文化(百人一首),2,,古典のリズムに親しむ,百人一首,,U507,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U408,4,国語,詩の鑑賞(4),3,,言葉の響きやリズムを味わう,表現技法,U308,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U409,4,国語,語彙・慣用句,3,,慣用句の意味と使い方を知る,慣用句,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U410,4,国語,アンケート結果の報告,3,,データを基に文章を書く,客観的記述,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U411,4,算数,わり算の筆算(1桁),1,,わる数が1桁の筆算を習得,筆算・商,U313,U412,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U412,4,算数,わり算の筆算(2桁),1,,わる数が2桁の筆算を習得,仮商・修正,U411,U515,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U413,4,算数,角の大きさ,1,,分度器による角度の測定,度・回転,U322,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U414,4,算数,折れ線グラフ,2,,変化の様子をグラフで表す,変化・傾き,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U415,4,算数,面積の単位,2,,面積の公式と普遍単位,平方センチ・公式,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U416,4,算数,小数のたし算・ひき算,2,,小数の仕組みと加減算,小数第2位,U318,U417,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U417,4,算数,小数のかけ算・わり算の基礎,3,,小数と整数の乗除算,小数計算,U416,U514,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U418,4,算数,分数のたし算・ひき算(同分母),3,,真分数・帯分数の加減算,帯分数・仮分数,U319,U518,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U419,4,算数,垂直・平行と四角形,3,,図形の構成要素の関係性,垂直・平行,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U420,4,算数,直方体と立方体,3,,空間における垂直・平行,見取図・展開図,U221,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U421,4,算数,伴って変わる量,3,,2つの量の変化の関係,関数的思考,,U513,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U422,4,算数,そろばん,3,,そろばんの基礎的な操作,そろばん,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U431,4,理科,季節と生物,1,,四季を通じた動植物の変化観察,気候・生態,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U432,4,理科,天気と気温の変化,1,,1日の気温変化と天気の関係,気温・百葉箱,U334,U531,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U433,4,理科,動物のからだのつくりと運動,1,,骨や筋肉のはたらきを学ぶ,骨格・筋肉,,U632,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U434,4,理科,電池のはたらき,2,,直列・並列つなぎと電流,回路・電流,,U539,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U435,4,理科,星と月の動き,2,,夜空の星と月の観察,星座・動き,U334,U635,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U436,4,理科,閉じ込めた空気と水,2,,圧力による体積の変化,空気・水・圧力,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U437,4,理科,物のあたたまり方,3,,金属・水・空気の熱の伝わり方,伝導・対流,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U438,4,理科,水のすがたと温度,3,,沸騰・氷結による状態変化,沸点・氷点・状態変化,U338,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U439,4,理科,自然の観察まとめ,3,,1年間の自然観察のまとめ,総合観察,U431,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U441,4,社会,わたしたちの県の様子,1,,県の地形や交通の広がり,都道府県・県庁,U341,U541,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U442,4,社会,飲料水のゆくえ,1,,浄水場の働きと水の循環,インフラ・水道,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U443,4,社会,ごみの処理と利用,1,,清掃工場の働きとリサイクル,環境保全・3R,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U444,4,社会,自然災害からくらしを守る,2,,地震や水害への備えと対策,防災・ハザードマップ,,U544,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U445,4,社会,県内の特色ある地域,2,,地場産業や観光地の学習,伝統産業・地域おこし,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U446,4,社会,きょう土の伝統・文化,3,,地域の文化財や年中行事,文化財保護,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U451,4,外国語活動,天気と曜日,1,,天候と曜日の表現を学ぶ,Weather/Days,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U452,4,外国語活動,時間の表現,1,,What time is it? を学ぶ,Time,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U453,4,外国語活動,持ち物の確認,2,,Do you have ~? の表現,Stationery,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U454,4,外国語活動,アルファベット(小文字)の認識,2,,小文字の形と大文字の対応,Lowercase,U355,U551,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U455,4,外国語活動,欲しいもの,3,,What do you want? で尋ねる,Food/Desire,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U456,4,外国語活動,自分の1日の生活,3,,This is my day. で表現する,Daily routine,,U652,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U501,5,国語,漢字の基礎(5),1,,5年生の配当漢字を習得する,同音異義語・熟語,U401,U601,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U502,5,国語,敬語の基礎,1,,尊敬語・謙譲語・丁寧語の理解,敬語,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
